 10, 0.00,  1
 10, 0.01,  1
 10, 0.02,  1
 10, 0.03,  1
 10, 0.04,  3
 10, 0.05,  3
 10, 0.06,  3
 10, 0.07,  5
 10, 0.08,  5
 10, 0.09,  9
 10, 0.10,  9
 10, 0.11, 11
 10, 0.12, 13
 10, 0.13, 13
 10, 0.14, 13
 10, 0.15, 13
 10, 0.16, 13
 10, 0.17,  1
 10, 0.18,  1
 10, 0.19,  1
 10, 0.20,  1
 10, 0.21,  1
 10, 0.22,  1
 10, 0.23,  1
 10, 0.24,  1
 10, 0.25,  1
 10, 0.26,  1
 10, 0.27,  1
 10, 0.28,  1
 10, 0.29,  1
 10, 0.30,  1
 10, 0.31,  1
 10, 0.32,  1
 10, 0.33,  1
 10, 0.34,  1
 10, 0.35,  1
 10, 0.36,  1
 10, 0.37,  1
 10, 0.38,  1
 10, 0.39,  1
 10, 0.40,  1
 11, 0.00,  1
 11, 0.01,  1
 11, 0.02,  3
 11, 0.03,  3
 11, 0.04,  3
 11, 0.05,  3
 11, 0.06,  5
 11, 0.07,  5
 11, 0.08,  5
 11, 0.09,  5
 11, 0.10,  5
 11, 0.11,  7
 11, 0.12, 13
 11, 0.13, 13
 11, 0.14, 13
 11, 0.15, 13
 11, 0.16, 13
 11, 0.17, 13
 11, 0.18, 13
 11, 0.19,  1
 11, 0.20,  1
 11, 0.21,  1
 11, 0.22,  1
 11, 0.23,  1
 11, 0.24,  1
 11, 0.25,  1
 11, 0.26,  1
 11, 0.27,  1
 11, 0.28,  1
 11, 0.29,  1
 11, 0.30,  1
 11, 0.31,  1
 11, 0.32,  1
 11, 0.33,  1
 11, 0.34,  1
 11, 0.35,  1
 11, 0.36,  1
 11, 0.37,  1
 11, 0.38,  1
 11, 0.39,  1
 11, 0.40,  1
 12, 0.00,  1
 12, 0.01,  1
 12, 0.02,  3
 12, 0.03,  3
 12, 0.04,  3
 12, 0.05,  3
 12, 0.06,  5
 12, 0.07,  5
 12, 0.08,  5
 12, 0.09,  5
 12, 0.10,  5
 12, 0.11,  5
 12, 0.12,  5
 12, 0.13,  5
 12, 0.14,  5
 12, 0.15,  5
 12, 0.16,  5
 12, 0.17,  1
 12, 0.18,  1
 12, 0.19,  1
 12, 0.20,  1
 12, 0.21,  1
 12, 0.22,  1
 12, 0.23,  1
 12, 0.24,  1
 12, 0.25,  1
 12, 0.26,  1
 12, 0.27,  1
 12, 0.28,  1
 12, 0.29,  1
 12, 0.30,  1
 12, 0.31,  1
 12, 0.32,  1
 12, 0.33,  1
 12, 0.34,  1
 12, 0.35,  1
 12, 0.36,  1
 12, 0.37,  1
 12, 0.38,  1
 12, 0.39,  1
 12, 0.40,  1
 13, 0.00,  1
 13, 0.01,  3
 13, 0.02,  3
 13, 0.03,  3
 13, 0.04,  3
 13, 0.05,  3
 13, 0.06,  3
 13, 0.07,  3
 13, 0.08,  5
 13, 0.09, 11
 13, 0.10,  5
 13, 0.11,  7
 13, 0.12,  7
 13, 0.13,  7
 13, 0.14,  3
 13, 0.15,  3
 13, 0.16,  5
 13, 0.17,  3
 13, 0.18,  3
 13, 0.19,  1
 13, 0.20,  1
 13, 0.21,  1
 13, 0.22,  1
 13, 0.23,  1
 13, 0.24,  1
 13, 0.25,  1
 13, 0.26,  1
 13, 0.27,  1
 13, 0.28,  1
 13, 0.29,  1
 13, 0.30,  1
 13, 0.31,  1
 13, 0.32,  1
 13, 0.33,  1
 13, 0.34,  1
 13, 0.35,  1
 13, 0.36,  1
 13, 0.37,  1
 13, 0.38,  1
 13, 0.39,  1
 13, 0.40,  1
 14, 0.00,  1
 14, 0.01,  1
 14, 0.02,  3
 14, 0.03,  3
 14, 0.04,  3
 14, 0.05,  5
 14, 0.06,  5
 14, 0.07,  5
 14, 0.08,  5
 14, 0.09,  5
 14, 0.10,  5
 14, 0.11,  7
 14, 0.12,  7
 14, 0.13,  7
 14, 0.14,  7
 14, 0.15,  7
 14, 0.16,  5
 14, 0.17,  3
 14, 0.18,  1
 14, 0.19,  1
 14, 0.20,  1
 14, 0.21,  1
 14, 0.22,  1
 14, 0.23,  1
 14, 0.24,  1
 14, 0.25,  1
 14, 0.26,  1
 14, 0.27,  1
 14, 0.28,  1
 14, 0.29,  1
 14, 0.30,  1
 14, 0.31,  1
 14, 0.32,  1
 14, 0.33,  1
 14, 0.34,  1
 14, 0.35,  1
 14, 0.36,  1
 14, 0.37,  1
 14, 0.38,  1
 14, 0.39,  1
 14, 0.40,  1
 15, 0.00,  1
 15, 0.01,  1
 15, 0.02,  3
 15, 0.03,  3
 15, 0.04,  3
 15, 0.05,  5
 15, 0.06,  5
 15, 0.07,  5
 15, 0.08,  9
 15, 0.09,  5
 15, 0.10,  5
 15, 0.11, 11
 15, 0.12, 13
 15, 0.13, 11
 15, 0.14,  9
